age,sex,province,education,n
17,Male,Manitoba,No high school diploma,1
17,Male,New Brunswick,High school diploma,2
17,Male,New Brunswick,No high school diploma,3
17,Male,Newfoundland and Labrador,High school diploma,1
17,Male,Newfoundland and Labrador,No high school diploma,5
17,Male,Nova Scotia,No high school diploma,1
17,Male,Ontario,High school diploma,2
17,Male,Ontario,No high school diploma,26
17,Male,Prince Edward Island,No high school diploma,2
17,Male,Quebec,High school diploma,4
17,Male,Quebec,No high school diploma,7
17,Male,Saskatchewan,No high school diploma,7
18,Female,Alberta,High school diploma,6
18,Female,Alberta,No high school diploma,2
18,Female,British Columbia,High school diploma,10
18,Female,British Columbia,Master's degree,1
18,Female,Manitoba,High school diploma,1
18,Female,Manitoba,No high school diploma,2
18,Female,New Brunswick,High school diploma,2
18,Female,New Brunswick,No high school diploma,1
18,Female,Newfoundland and Labrador,High school diploma,2
18,Female,Newfoundland and Labrador,No high school diploma,1
18,Female,Nova Scotia,High school diploma,1
18,Female,Ontario,High school diploma,8
18,Female,Ontario,No high school diploma,10
18,Female,Prince Edward Island,No high school diploma,1
18,Female,Quebec,Associate degree,1
18,Female,Quebec,High school diploma,7
18,Female,Saskatchewan,Associate degree,1
18,Female,Saskatchewan,High school diploma,3
18,Female,Saskatchewan,No high school diploma,2
18,Male,Alberta,High school diploma,3
18,Male,Alberta,No high school diploma,3
18,Male,British Columbia,High school diploma,7
18,Male,British Columbia,No high school diploma,6
18,Male,Manitoba,High school diploma,1
18,Male,Manitoba,No high school diploma,1
18,Male,New Brunswick,High school diploma,3
18,Male,New Brunswick,No high school diploma,1
18,Male,Newfoundland and Labrador,High school diploma,5
18,Male,Nova Scotia,High school diploma,2
18,Male,Nova Scotia,No high school diploma,3
18,Male,Ontario,Associate degree,1
18,Male,Ontario,High school diploma,10
18,Male,Ontario,No high school diploma,3
18,Male,Prince Edward Island,High school diploma,1
18,Male,Prince Edward Island,No high school diploma,2
18,Male,Quebec,Associate degree,1
18,Male,Quebec,High school diploma,9
18,Male,Quebec,No high school diploma,2
18,Male,Saskatchewan,High school diploma,2
18,Male,Saskatchewan,No high school diploma,2
19,Female,Alberta,High school diploma,7
19,Female,British Columbia,High school diploma,3
19,Female,Manitoba,Associate degree,1
19,Female,Manitoba,High school diploma,4
19,Female,Manitoba,No high school diploma,1
19,Female,New Brunswick,Associate degree,3
19,Female,New Brunswick,High school diploma,2
19,Female,Newfoundland and Labrador,High school diploma,2
19,Female,Newfoundland and Labrador,No high school diploma,1
19,Female,Nova Scotia,High school diploma,2
19,Female,Ontario,Associate degree,2
19,Female,Ontario,High school diploma,21
19,Female,Prince Edward Island,High school diploma,2
19,Female,Quebec,Associate degree,4
19,Female,Quebec,High school diploma,7
19,Female,Quebec,No high school diploma,2
19,Female,Saskatchewan,High school diploma,1
19,Female,Saskatchewan,No high school diploma,3
19,Male,Alberta,Associate degree,1
19,Male,Alberta,High school diploma,6
19,Male,Alberta,Master's degree,1
19,Male,Alberta,No high school diploma,1
19,Male,British Columbia,High school diploma,9
19,Male,Manitoba,High school diploma,4
19,Male,Manitoba,No high school diploma,1
19,Male,New Brunswick,Associate degree,1
19,Male,New Brunswick,High school diploma,1
19,Male,Newfoundland and Labrador,Associate degree,1
19,Male,Newfoundland and Labrador,No high school diploma,1
19,Male,Nova Scotia,Associate degree,1
19,Male,Nova Scotia,High school diploma,2
19,Male,Ontario,Associate degree,1
19,Male,Ontario,High school diploma,13
19,Male,Ontario,No high school diploma,3
19,Male,Prince Edward Island,High school diploma,4
19,Male,Prince Edward Island,No high school diploma,1
19,Male,Quebec,Bachelor's degree,1
19,Male,Quebec,High school diploma,10
19,Male,Quebec,No high school diploma,1
19,Male,Saskatchewan,Associate degree,2
19,Male,Saskatchewan,High school diploma,3
20,Female,Alberta,Associate degree,2
20,Female,Alberta,High school diploma,2
20,Female,British Columbia,Associate degree,1
20,Female,British Columbia,High school diploma,6
20,Female,Manitoba,High school diploma,1
20,Female,Newfoundland and Labrador,Associate degree,1
20,Female,Newfoundland and Labrador,High school diploma,6
20,Female,Nova Scotia,Associate degree,1
20,Female,Nova Scotia,High school diploma,4
20,Female,Nova Scotia,No high school diploma,1
20,Female,Ontario,Associate degree,4
20,Female,Ontario,High school diploma,12
20,Female,Ontario,No high school diploma,2
20,Female,Quebec,Associate degree,5
20,Female,Quebec,High school diploma,7
20,Female,Saskatchewan,No high school diploma,1
20,Male,Alberta,High school diploma,7
20,Male,British Columbia,Associate degree,3
20,Male,British Columbia,High school diploma,6
20,Male,Manitoba,Associate degree,1
20,Male,Manitoba,High school diploma,2
20,Male,Manitoba,No high school diploma,1
20,Male,New Brunswick,Associate degree,1
20,Male,New Brunswick,High school diploma,1
20,Male,Newfoundland and Labrador,High school diploma,1
20,Male,Nova Scotia,High school diploma,7
20,Male,Nova Scotia,No high school diploma,1
20,Male,Ontario,Associate degree,3
20,Male,Ontario,High school diploma,22
20,Male,Ontario,No high school diploma,1
20,Male,Prince Edward Island,Associate degree,2
20,Male,Prince Edward Island,High school diploma,1
20,Male,Quebec,Associate degree,4
20,Male,Quebec,High school diploma,8
20,Male,Quebec,No high school diploma,3
20,Male,Saskatchewan,High school diploma,5
21,Female,Alberta,High school diploma,3
21,Female,British Columbia,High school diploma,3
21,Female,Manitoba,Associate degree,3
21,Female,Manitoba,High school diploma,3
21,Female,New Brunswick,Associate degree,1
21,Female,New Brunswick,High school diploma,4
21,Female,Newfoundland and Labrador,Associate degree,1
21,Female,Newfoundland and Labrador,High school diploma,2
21,Female,Nova Scotia,Associate degree,1
21,Female,Nova Scotia,High school diploma,1
21,Female,Nova Scotia,No high school diploma,1
21,Female,Ontario,Associate degree,7
21,Female,Ontario,Bachelor's degree,2
21,Female,Ontario,High school diploma,11
21,Female,Ontario,No high school diploma,2
21,Female,Prince Edward Island,High school diploma,2
21,Female,Prince Edward Island,No high school diploma,1
21,Female,Quebec,Associate degree,10
21,Female,Quebec,Bachelor's degree,3
21,Female,Quebec,High school diploma,4
21,Female,Saskatchewan,High school diploma,2
21,Male,Alberta,High school diploma,8
21,Male,British Columbia,Associate degree,2
21,Male,British Columbia,High school diploma,6
21,Male,Manitoba,Associate degree,3
21,Male,Manitoba,High school diploma,5
21,Male,New Brunswick,Associate degree,1
21,Male,New Brunswick,High school diploma,3
21,Male,Newfoundland and Labrador,High school diploma,1
21,Male,Nova Scotia,Bachelor's degree,1
21,Male,Nova Scotia,High school diploma,3
21,Male,Ontario,Associate degree,5
21,Male,Ontario,Bachelor's degree,1
21,Male,Ontario,High school diploma,22
21,Male,Prince Edward Island,High school diploma,1
21,Male,Quebec,Associate degree,4
21,Male,Quebec,High school diploma,3
21,Male,Quebec,No high school diploma,4
21,Male,Saskatchewan,High school diploma,1
21,Male,Saskatchewan,No high school diploma,2
22,Female,Alberta,Associate degree,4
22,Female,Alberta,Bachelor's degree,2
22,Female,Alberta,High school diploma,5
22,Female,Alberta,No high school diploma,1
22,Female,British Columbia,Associate degree,3
22,Female,British Columbia,Bachelor's degree,3
22,Female,British Columbia,High school diploma,4
22,Female,Manitoba,Associate degree,1
22,Female,Manitoba,Bachelor's degree,1
22,Female,Manitoba,No high school diploma,1
22,Female,New Brunswick,Associate degree,2
22,Female,New Brunswick,High school diploma,2
22,Female,New Brunswick,No high school diploma,1
22,Female,Newfoundland and Labrador,Associate degree,3
22,Female,Newfoundland and Labrador,Bachelor's degree,1
22,Female,Nova Scotia,Associate degree,2
22,Female,Nova Scotia,High school diploma,5
22,Female,Ontario,Associate degree,7
22,Female,Ontario,Bachelor's degree,8
22,Female,Ontario,High school diploma,14
22,Female,Ontario,No high school diploma,1
22,Female,Prince Edward Island,Bachelor's degree,2
22,Female,Prince Edward Island,High school diploma,1
22,Female,Quebec,Associate degree,10
22,Female,Quebec,No high school diploma,1
22,Female,Saskatchewan,Associate degree,4
22,Female,Saskatchewan,High school diploma,4
22,Male,Alberta,Associate degree,2
22,Male,Alberta,Bachelor's degree,1
22,Male,Alberta,High school diploma,5
22,Male,British Columbia,Associate degree,3
22,Male,British Columbia,Bachelor's degree,1
22,Male,British Columbia,High school diploma,13
22,Male,Manitoba,Associate degree,2
22,Male,Manitoba,High school diploma,5
22,Male,New Brunswick,High school diploma,1
22,Male,Newfoundland and Labrador,Associate degree,1
22,Male,Newfoundland and Labrador,Bachelor's degree,1
22,Male,Newfoundland and Labrador,High school diploma,3
22,Male,Nova Scotia,Bachelor's degree,1
22,Male,Nova Scotia,High school diploma,6
22,Male,Ontario,Associate degree,7
22,Male,Ontario,Bachelor's degree,4
22,Male,Ontario,High school diploma,14
22,Male,Ontario,Master's degree,1
22,Male,Ontario,No high school diploma,1
22,Male,Prince Edward Island,High school diploma,2
22,Male,Quebec,Associate degree,8
22,Male,Quebec,High school diploma,4
22,Male,Quebec,No high school diploma,5
22,Male,Saskatchewan,Associate degree,1
22,Male,Saskatchewan,High school diploma,2
23,Female,Alberta,Associate degree,2
23,Female,Alberta,Bachelor's degree,3
23,Female,Alberta,High school diploma,2
23,Female,British Columbia,Associate degree,4
23,Female,British Columbia,Bachelor's degree,3
23,Female,British Columbia,High school diploma,3
23,Female,British Columbia,No high school diploma,1
23,Female,Manitoba,Associate degree,1
23,Female,Manitoba,Bachelor's degree,1
23,Female,Manitoba,High school diploma,3
23,Female,Manitoba,No high school diploma,1
23,Female,New Brunswick,Associate degree,2
23,Female,New Brunswick,Bachelor's degree,2
23,Female,New Brunswick,High school diploma,2
23,Female,Newfoundland and Labrador,Associate degree,2
23,Female,Newfoundland and Labrador,Bachelor's degree,2
23,Female,Newfoundland and Labrador,High school diploma,2
23,Female,Nova Scotia,Associate degree,1
23,Female,Nova Scotia,Bachelor's degree,2
23,Female,Ontario,Associate degree,8
23,Female,Ontario,Bachelor's degree,8
23,Female,Ontario,High school diploma,9
23,Female,Prince Edward Island,Associate degree,1
23,Female,Prince Edward Island,Bachelor's degree,1
23,Female,Prince Edward Island,High school diploma,1
23,Female,Quebec,Associate degree,8
23,Female,Quebec,Bachelor's degree,2
23,Female,Quebec,High school diploma,3
23,Female,Quebec,No high school diploma,1
23,Female,Saskatchewan,Bachelor's degree,2
23,Female,Saskatchewan,High school diploma,2
23,Female,Saskatchewan,No high school diploma,1
23,Male,Alberta,Associate degree,1
23,Male,Alberta,High school diploma,4
23,Male,Alberta,No high school diploma,1
23,Male,British Columbia,Associate degree,1
23,Male,British Columbia,Bachelor's degree,1
23,Male,British Columbia,High school diploma,2
23,Male,British Columbia,Master's degree,1
23,Male,Manitoba,Associate degree,1
23,Male,Manitoba,Bachelor's degree,2
23,Male,Manitoba,High school diploma,3
23,Male,New Brunswick,Associate degree,2
23,Male,New Brunswick,Bachelor's degree,2
23,Male,New Brunswick,High school diploma,3
23,Male,Newfoundland and Labrador,Associate degree,1
23,Male,Newfoundland and Labrador,High school diploma,1
23,Male,Nova Scotia,Associate degree,1
23,Male,Nova Scotia,Bachelor's degree,1
23,Male,Nova Scotia,High school diploma,2
23,Male,Nova Scotia,No high school diploma,1
23,Male,Ontario,Associate degree,4
23,Male,Ontario,Bachelor's degree,6
23,Male,Ontario,High school diploma,6
23,Male,Ontario,No high school diploma,2
23,Male,Prince Edward Island,Associate degree,3
23,Male,Prince Edward Island,High school diploma,1
23,Male,Prince Edward Island,No high school diploma,1
23,Male,Quebec,Associate degree,6
23,Male,Quebec,Bachelor's degree,1
23,Male,Quebec,High school diploma,2
23,Male,Quebec,No high school diploma,4
23,Male,Saskatchewan,Associate degree,1
23,Male,Saskatchewan,Bachelor's degree,1
23,Male,Saskatchewan,High school diploma,3
23,Male,Saskatchewan,No high school diploma,1
24,Female,Alberta,Associate degree,4
24,Female,Alberta,Bachelor's degree,3
24,Female,Alberta,High school diploma,4
24,Female,Alberta,No high school diploma,1
24,Female,British Columbia,Associate degree,3
24,Female,British Columbia,Bachelor's degree,3
24,Female,British Columbia,High school diploma,8
24,Female,British Columbia,No high school diploma,2
24,Female,Manitoba,Associate degree,2
24,Female,Manitoba,Bachelor's degree,2
24,Female,Manitoba,High school diploma,2
24,Female,Manitoba,No high school diploma,2
24,Female,New Brunswick,Associate degree,2
24,Female,New Brunswick,Bachelor's degree,1
24,Female,New Brunswick,High school diploma,3
24,Female,New Brunswick,No high school diploma,1
24,Female,Newfoundland and Labrador,Associate degree,2
24,Female,Newfoundland and Labrador,Bachelor's degree,2
24,Female,Nova Scotia,Associate degree,2
24,Female,Nova Scotia,Bachelor's degree,1
24,Female,Nova Scotia,High school diploma,5
24,Female,Nova Scotia,No high school diploma,1
24,Female,Ontario,Associate degree,9
24,Female,Ontario,Bachelor's degree,15
24,Female,Ontario,High school diploma,5
24,Female,Ontario,No high school diploma,1
24,Female,Prince Edward Island,Bachelor's degree,1
24,Female,Prince Edward Island,High school diploma,3
24,Female,Quebec,Associate degree,6
24,Female,Quebec,Bachelor's degree,3
24,Female,Quebec,High school diploma,2
24,Female,Quebec,No high school diploma,1
24,Female,Saskatchewan,Associate degree,3
24,Female,Saskatchewan,Bachelor's degree,2
24,Male,Alberta,Associate degree,1
24,Male,Alberta,Bachelor's degree,4
24,Male,Alberta,High school diploma,3
24,Male,British Columbia,Associate degree,2
24,Male,British Columbia,Bachelor's degree,2
24,Male,British Columbia,High school diploma,7
24,Male,Manitoba,Bachelor's degree,1
24,Male,Manitoba,High school diploma,2
24,Male,New Brunswick,Associate degree,1
24,Male,New Brunswick,Bachelor's degree,2
24,Male,New Brunswick,High school diploma,1
24,Male,New Brunswick,No high school diploma,2
24,Male,Newfoundland and Labrador,Associate degree,1
24,Male,Newfoundland and Labrador,Bachelor's degree,2
24,Male,Newfoundland and Labrador,High school diploma,1
24,Male,Newfoundland and Labrador,No high school diploma,1
24,Male,Nova Scotia,Associate degree,2
24,Male,Nova Scotia,Bachelor's degree,1
24,Male,Ontario,Associate degree,5
24,Male,Ontario,Bachelor's degree,5
24,Male,Ontario,High school diploma,6
24,Male,Prince Edward Island,Associate degree,1
24,Male,Prince Edward Island,High school diploma,2
24,Male,Quebec,Associate degree,8
24,Male,Quebec,Bachelor's degree,4
24,Male,Quebec,High school diploma,2
24,Male,Quebec,No high school diploma,2
24,Male,Saskatchewan,Associate degree,1
24,Male,Saskatchewan,Bachelor's degree,1
24,Male,Saskatchewan,High school diploma,5
24,Male,Saskatchewan,No high school diploma,1
25,Female,Alberta,Associate degree,5
25,Female,Alberta,Bachelor's degree,2
25,Female,Alberta,High school diploma,4
25,Female,Alberta,No high school diploma,1
25,Female,British Columbia,Associate degree,4
25,Female,British Columbia,Bachelor's degree,4
25,Female,British Columbia,High school diploma,3
25,Female,Manitoba,Associate degree,2
25,Female,Manitoba,Bachelor's degree,2
25,Female,Manitoba,High school diploma,1
25,Female,New Brunswick,Associate degree,1
25,Female,New Brunswick,Bachelor's degree,1
25,Female,New Brunswick,Master's degree,2
25,Female,Newfoundland and Labrador,Bachelor's degree,1
25,Female,Newfoundland and Labrador,High school diploma,1
25,Female,Nova Scotia,Associate degree,2
25,Female,Nova Scotia,Bachelor's degree,1
25,Female,Nova Scotia,No high school diploma,1
25,Female,Ontario,Associate degree,9
25,Female,Ontario,Bachelor's degree,11
25,Female,Ontario,High school diploma,3
25,Female,Ontario,Master's degree,3
25,Female,Ontario,No high school diploma,1
25,Female,Prince Edward Island,Associate degree,2
25,Female,Quebec,Associate degree,13
25,Female,Quebec,Bachelor's degree,9
25,Female,Quebec,High school diploma,4
25,Female,Quebec,No high school diploma,1
25,Female,Saskatchewan,Associate degree,1
25,Female,Saskatchewan,Bachelor's degree,3
25,Female,Saskatchewan,High school diploma,4
25,Male,Alberta,Associate degree,2
25,Male,Alberta,Bachelor's degree,3
25,Male,Alberta,High school diploma,3
25,Male,Alberta,No high school diploma,2
25,Male,British Columbia,Associate degree,4
25,Male,British Columbia,Bachelor's degree,4
25,Male,British Columbia,High school diploma,1
25,Male,Manitoba,Associate degree,5
25,Male,Manitoba,Bachelor's degree,3
25,Male,Manitoba,High school diploma,1
25,Male,New Brunswick,Associate degree,2
25,Male,Newfoundland and Labrador,Bachelor's degree,2
25,Male,Newfoundland and Labrador,High school diploma,2
25,Male,Newfoundland and Labrador,No high school diploma,1
25,Male,Nova Scotia,Associate degree,3
25,Male,Nova Scotia,Bachelor's degree,3
25,Male,Nova Scotia,High school diploma,6
25,Male,Nova Scotia,Master's degree,1
25,Male,Ontario,Associate degree,8
25,Male,Ontario,Bachelor's degree,6
25,Male,Ontario,High school diploma,6
25,Male,Ontario,Master's degree,6
25,Male,Ontario,No high school diploma,1
25,Male,Prince Edward Island,Associate degree,2
25,Male,Prince Edward Island,High school diploma,2
25,Male,Quebec,Associate degree,5
25,Male,Quebec,Bachelor's degree,2
25,Male,Quebec,High school diploma,2
25,Male,Quebec,Master's degree,1
25,Male,Quebec,No high school diploma,6
25,Male,Saskatchewan,Associate degree,2
25,Male,Saskatchewan,High school diploma,3
25,Male,Saskatchewan,No high school diploma,2
26,Female,Alberta,Associate degree,8
26,Female,Alberta,Bachelor's degree,4
26,Female,Alberta,High school diploma,2
26,Female,Alberta,No high school diploma,1
26,Female,British Columbia,Associate degree,1
26,Female,British Columbia,Bachelor's degree,9
26,Female,British Columbia,High school diploma,6
26,Female,Manitoba,Associate degree,3
26,Female,Manitoba,Bachelor's degree,1
26,Female,Manitoba,High school diploma,1
26,Female,New Brunswick,Associate degree,5
26,Female,New Brunswick,Bachelor's degree,1
26,Female,New Brunswick,Master's degree,1
26,Female,Newfoundland and Labrador,Associate degree,2
26,Female,Newfoundland and Labrador,Bachelor's degree,2
26,Female,Newfoundland and Labrador,High school diploma,2
26,Female,Nova Scotia,Associate degree,3
26,Female,Nova Scotia,High school diploma,1
26,Female,Nova Scotia,Master's degree,1
26,Female,Ontario,Associate degree,11
26,Female,Ontario,Bachelor's degree,9
26,Female,Ontario,High school diploma,3
26,Female,Ontario,Master's degree,3
26,Female,Prince Edward Island,Associate degree,1
26,Female,Prince Edward Island,High school diploma,3
26,Female,Quebec,Associate degree,8
26,Female,Quebec,Bachelor's degree,9
26,Female,Quebec,High school diploma,3
26,Female,Quebec,Master's degree,5
26,Female,Quebec,No high school diploma,2
26,Female,Saskatchewan,Associate degree,4
26,Female,Saskatchewan,Bachelor's degree,1
26,Female,Saskatchewan,Master's degree,1
26,Male,Alberta,Associate degree,2
26,Male,Alberta,Bachelor's degree,4
26,Male,Alberta,High school diploma,4
26,Male,British Columbia,Associate degree,6
26,Male,British Columbia,Bachelor's degree,4
26,Male,British Columbia,High school diploma,2
26,Male,British Columbia,Master's degree,2
26,Male,Manitoba,Associate degree,2
26,Male,Manitoba,Bachelor's degree,1
26,Male,Manitoba,High school diploma,1
26,Male,New Brunswick,Associate degree,1
26,Male,Newfoundland and Labrador,Associate degree,2
26,Male,Newfoundland and Labrador,Bachelor's degree,2
26,Male,Nova Scotia,Bachelor's degree,3
26,Male,Nova Scotia,High school diploma,3
26,Male,Nova Scotia,Master's degree,1
26,Male,Ontario,Associate degree,13
26,Male,Ontario,Bachelor's degree,6
26,Male,Ontario,High school diploma,6
26,Male,Ontario,Master's degree,3
26,Male,Prince Edward Island,Associate degree,2
26,Male,Prince Edward Island,High school diploma,2
26,Male,Quebec,Associate degree,14
26,Male,Quebec,Bachelor's degree,2
26,Male,Quebec,High school diploma,4
26,Male,Quebec,Master's degree,3
26,Male,Quebec,No high school diploma,2
26,Male,Saskatchewan,Associate degree,2
26,Male,Saskatchewan,Bachelor's degree,1
26,Male,Saskatchewan,High school diploma,1
27,Female,Alberta,Associate degree,6
27,Female,Alberta,Bachelor's degree,3
27,Female,Alberta,High school diploma,2
27,Female,Alberta,Master's degree,1
27,Female,British Columbia,Associate degree,6
27,Female,British Columbia,Bachelor's degree,7
27,Female,British Columbia,High school diploma,2
27,Female,Manitoba,Associate degree,5
27,Female,Manitoba,Bachelor's degree,2
27,Female,Manitoba,High school diploma,2
27,Female,New Brunswick,Associate degree,3
27,Female,New Brunswick,Bachelor's degree,4
27,Female,New Brunswick,High school diploma,4
27,Female,New Brunswick,Master's degree,2
27,Female,Newfoundland and Labrador,Associate degree,2
27,Female,Newfoundland and Labrador,Bachelor's degree,3
27,Female,Newfoundland and Labrador,High school diploma,1
27,Female,Newfoundland and Labrador,Master's degree,1
27,Female,Nova Scotia,Associate degree,7
27,Female,Nova Scotia,Bachelor's degree,3
27,Female,Nova Scotia,Master's degree,2
27,Female,Ontario,Associate degree,16
27,Female,Ontario,Bachelor's degree,11
27,Female,Ontario,High school diploma,2
27,Female,Ontario,Master's degree,6
27,Female,Ontario,No high school diploma,1
27,Female,Prince Edward Island,Associate degree,2
27,Female,Prince Edward Island,High school diploma,2
27,Female,Quebec,Associate degree,11
27,Female,Quebec,Bachelor's degree,6
27,Female,Quebec,High school diploma,4
27,Female,Quebec,No high school diploma,2
27,Female,Saskatchewan,Associate degree,5
27,Female,Saskatchewan,Bachelor's degree,4
27,Female,Saskatchewan,High school diploma,1
27,Male,Alberta,Associate degree,7
27,Male,Alberta,Bachelor's degree,5
27,Male,Alberta,High school diploma,4
27,Male,Alberta,Master's degree,1
27,Male,British Columbia,Associate degree,5
27,Male,British Columbia,Bachelor's degree,2
27,Male,British Columbia,High school diploma,3
27,Male,British Columbia,Master's degree,1
27,Male,British Columbia,No high school diploma,1
27,Male,Manitoba,Associate degree,1
27,Male,Manitoba,Bachelor's degree,1
27,Male,Manitoba,High school diploma,1
27,Male,New Brunswick,Associate degree,2
27,Male,New Brunswick,Bachelor's degree,2
27,Male,New Brunswick,High school diploma,1
27,Male,Newfoundland and Labrador,Associate degree,4
27,Male,Newfoundland and Labrador,Bachelor's degree,1
27,Male,Newfoundland and Labrador,High school diploma,1
27,Male,Nova Scotia,Associate degree,2
27,Male,Nova Scotia,Bachelor's degree,2
27,Male,Nova Scotia,High school diploma,1
27,Male,Ontario,Associate degree,7
27,Male,Ontario,Bachelor's degree,8
27,Male,Ontario,High school diploma,3
27,Male,Ontario,Master's degree,3
27,Male,Ontario,No high school diploma,1
27,Male,Prince Edward Island,Bachelor's degree,2
27,Male,Prince Edward Island,High school diploma,1
27,Male,Quebec,Associate degree,14
27,Male,Quebec,Bachelor's degree,4
27,Male,Quebec,High school diploma,2
27,Male,Quebec,No high school diploma,3
27,Male,Saskatchewan,Associate degree,3
27,Male,Saskatchewan,High school diploma,3
28,Female,Alberta,Associate degree,5
28,Female,Alberta,Bachelor's degree,3
28,Female,Alberta,Master's degree,1
28,Female,British Columbia,Associate degree,7
28,Female,British Columbia,Bachelor's degree,2
28,Female,British Columbia,High school diploma,3
28,Female,British Columbia,Master's degree,3
28,Female,British Columbia,No high school diploma,2
28,Female,Manitoba,Associate degree,4
28,Female,Manitoba,Bachelor's degree,1
28,Female,Manitoba,High school diploma,2
28,Female,New Brunswick,Associate degree,1
28,Female,Newfoundland and Labrador,Associate degree,1
28,Female,Newfoundland and Labrador,Bachelor's degree,4
28,Female,Newfoundland and Labrador,High school diploma,1
28,Female,Nova Scotia,Associate degree,2
28,Female,Nova Scotia,Bachelor's degree,3
28,Female,Nova Scotia,High school diploma,2
28,Female,Nova Scotia,Master's degree,1
28,Female,Ontario,Associate degree,5
28,Female,Ontario,Bachelor's degree,8
28,Female,Ontario,High school diploma,5
28,Female,Ontario,Master's degree,8
28,Female,Ontario,No high school diploma,2
28,Female,Prince Edward Island,Associate degree,1
28,Female,Prince Edward Island,Bachelor's degree,2
28,Female,Quebec,Associate degree,9
28,Female,Quebec,Bachelor's degree,9
28,Female,Quebec,High school diploma,9
28,Female,Quebec,Master's degree,2
28,Female,Quebec,No high school diploma,3
28,Female,Saskatchewan,Associate degree,3
28,Female,Saskatchewan,Bachelor's degree,4
28,Female,Saskatchewan,High school diploma,3
28,Male,Alberta,Associate degree,5
28,Male,Alberta,Bachelor's degree,4
28,Male,Alberta,High school diploma,3
28,Male,Alberta,Master's degree,2
28,Male,British Columbia,Associate degree,5
28,Male,British Columbia,Bachelor's degree,4
28,Male,British Columbia,High school diploma,2
28,Male,Manitoba,Associate degree,1
28,Male,Manitoba,Bachelor's degree,2
28,Male,Manitoba,High school diploma,1
28,Male,New Brunswick,Associate degree,1
28,Male,New Brunswick,Bachelor's degree,2
28,Male,New Brunswick,High school diploma,3
28,Male,Newfoundland and Labrador,Associate degree,1
28,Male,Newfoundland and Labrador,Bachelor's degree,3
28,Male,Newfoundland and Labrador,High school diploma,1
28,Male,Newfoundland and Labrador,Master's degree,1
28,Male,Nova Scotia,Associate degree,4
28,Male,Nova Scotia,Bachelor's degree,2
28,Male,Ontario,Associate degree,11
28,Male,Ontario,Bachelor's degree,7
28,Male,Ontario,High school diploma,8
28,Male,Ontario,Master's degree,6
28,Male,Ontario,No high school diploma,4
28,Male,Prince Edward Island,Bachelor's degree,2
28,Male,Quebec,Associate degree,9
28,Male,Quebec,Bachelor's degree,6
28,Male,Quebec,High school diploma,3
28,Male,Quebec,Master's degree,2
28,Male,Quebec,No high school diploma,4
28,Male,Saskatchewan,Associate degree,5
28,Male,Saskatchewan,High school diploma,3
28,Male,Saskatchewan,Master's degree,2
29,Female,Alberta,Associate degree,4
29,Female,Alberta,Bachelor's degree,7
29,Female,Alberta,High school diploma,3
29,Female,Alberta,Master's degree,2
29,Female,Alberta,No high school diploma,1
29,Female,British Columbia,Associate degree,5
29,Female,British Columbia,Bachelor's degree,3
