age,sex,province,education
29,Male,Quebec,Bachelor's degree
42,Female,British Columbia,Associate degree
38,Female,Prince Edward Island,High school diploma
43,Female,Ontario,Bachelor's degree
75,Male,Nova Scotia,High school diploma
37,Female,Alberta,Bachelor's degree
67,Male,Prince Edward Island,Bachelor's degree
63,Female,Ontario,Associate degree
24,Female,Ontario,Bachelor's degree
74,Female,Nova Scotia,Associate degree
66,Female,Ontario,Bachelor's degree
67,Male,Ontario,High school diploma
60,Female,Ontario,Associate degree
43,Male,Saskatchewan,Master's degree
55,Female,Ontario,Associate degree
35,Male,Quebec,Bachelor's degree
58,Male,Ontario,Bachelor's degree
80,Female,Nova Scotia,High school diploma
52,Female,Newfoundland and Labrador,Bachelor's degree
54,Male,New Brunswick,No high school diploma
74,Male,British Columbia,High school diploma
22,Male,British Columbia,High school diploma
45,Male,Ontario,Bachelor's degree
31,Female,British Columbia,Associate degree
40,Female,Ontario,High school diploma
64,Female,Manitoba,Bachelor's degree
48,Male,Alberta,Associate degree
43,Male,Ontario,Associate degree
30,Male,Quebec,Associate degree
36,Male,New Brunswick,Associate degree
62,Female,Alberta,Bachelor's degree
68,Female,New Brunswick,Associate degree
69,Female,Nova Scotia,Associate degree
54,Female,British Columbia,High school diploma
46,Female,Nova Scotia,Bachelor's degree
65,Female,New Brunswick,Associate degree
80,Female,Ontario,High school diploma
56,Female,British Columbia,Bachelor's degree
33,Male,Ontario,Bachelor's degree
15,Female,Quebec,No high school diploma
37,Female,Nova Scotia,Bachelor's degree
51,Male,New Brunswick,Associate degree
39,Male,Quebec,High school diploma
70,Female,New Brunswick,Associate degree
48,Female,Prince Edward Island,Associate degree
75,Female,Quebec,Associate degree
22,Male,Ontario,High school diploma
60,Female,Ontario,Associate degree
62,Male,Quebec,Bachelor's degree
54,Male,Quebec,High school diploma
19,Female,Ontario,High school diploma
76,Female,Quebec,No high school diploma
66,Male,New Brunswick,Associate degree
59,Female,Ontario,Bachelor's degree
78,Female,Ontario,High school diploma
32,Female,Quebec,Master's degree
43,Female,Quebec,Associate degree
71,Female,Ontario,Associate degree
56,Female,Ontario,Associate degree
70,Female,Ontario,Associate degree
62,Male,British Columbia,High school diploma
21,Female,Ontario,High school diploma
59,Female,Ontario,Bachelor's degree
61,Female,Ontario,Master's degree
66,Female,Ontario,Associate degree
37,Female,Ontario,Bachelor's degree
37,Female,Ontario,Associate degree
30,Male,Ontario,Associate degree
33,Male,Quebec,Associate degree
68,Male,New Brunswick,High school diploma
60,Female,British Columbia,High school diploma
34,Female,Ontario,Bachelor's degree
59,Female,Ontario,Associate degree
49,Male,Alberta,Associate degree
40,Female,British Columbia,Bachelor's degree
58,Male,Ontario,Associate degree
78,Female,Quebec,Associate degree
64,Female,Quebec,Associate degree
59,Male,Nova Scotia,Associate degree
67,Male,Quebec,Associate degree
17,Female,Ontario,No high school diploma
50,Male,Alberta,High school diploma
36,Male,Ontario,Associate degree
56,Male,British Columbia,Master's degree
22,Female,Ontario,Bachelor's degree
70,Female,Alberta,High school diploma
16,Male,New Brunswick,No high school diploma
44,Male,British Columbia,Bachelor's degree
48,Female,Quebec,Associate degree
79,Female,Quebec,No high school diploma
35,Male,Quebec,High school diploma
33,Male,Prince Edward Island,Associate degree
27,Male,Alberta,Bachelor's degree
59,Male,British Columbia,Associate degree
34,Female,British Columbia,Bachelor's degree
58,Male,Quebec,High school diploma
67,Female,Quebec,Associate degree
72,Female,New Brunswick,No high school diploma
80,Male,New Brunswick,Master's degree
60,Male,Newfoundland and Labrador,Associate degree
49,Female,Ontario,High school diploma
63,Female,Quebec,No high school diploma
80,Male,Quebec,Master's degree
45,Male,Newfoundland and Labrador,High school diploma
70,Female,British Columbia,High school diploma
29,Male,Ontario,Associate degree
39,Female,British Columbia,Master's degree
66,Male,Ontario,Master's degree
50,Female,Alberta,High school diploma
52,Male,Newfoundland and Labrador,No high school diploma
30,Female,Ontario,Associate degree
42,Male,Newfoundland and Labrador,Associate degree
77,Male,Alberta,High school diploma
80,Female,Ontario,No high school diploma
39,Male,Quebec,Associate degree
39,Female,British Columbia,Master's degree
80,Male,New Brunswick,Master's degree
75,Male,Nova Scotia,Bachelor's degree
80,Female,New Brunswick,No high school diploma
30,Female,Nova Scotia,Associate degree
32,Female,Ontario,Associate degree
43,Female,Nova Scotia,Associate degree
33,Female,Quebec,Bachelor's degree
24,Female,Prince Edward Island,High school diploma
80,Male,British Columbia,No high school diploma
73,Female,Ontario,Bachelor's degree
74,Female,Quebec,Associate degree
31,Female,Prince Edward Island,Master's degree
24,Female,Alberta,High school diploma
56,Female,Manitoba,Associate degree
67,Female,British Columbia,Associate degree
25,Male,Newfoundland and Labrador,No high school diploma
30,Female,Newfoundland and Labrador,No high school diploma
55,Male,Manitoba,Associate degree
50,Male,Ontario,High school diploma
27,Male,Alberta,Bachelor's degree
29,Female,Ontario,Master's degree
69,Female,Ontario,Master's degree
57,Female,Ontario,Associate degree
57,Female,Quebec,No high school diploma
41,Female,New Brunswick,Associate degree
29,Female,Saskatchewan,Bachelor's degree
55,Male,Ontario,Associate degree
59,Male,British Columbia,Associate degree
75,Female,Newfoundland and Labrador,High school diploma
65,Female,Saskatchewan,No high school diploma
15,Female,Quebec,No high school diploma
54,Male,Ontario,Master's degree
25,Male,British Columbia,Bachelor's degree
30,Male,Ontario,Master's degree
43,Female,Alberta,High school diploma
46,Female,Ontario,Associate degree
51,Female,Quebec,High school diploma
69,Female,New Brunswick,Bachelor's degree
66,Female,Quebec,Bachelor's degree
21,Male,Ontario,High school diploma
38,Male,New Brunswick,Bachelor's degree
55,Male,New Brunswick,Associate degree
39,Female,Ontario,Bachelor's degree
66,Female,Quebec,Master's degree
51,Female,Ontario,High school diploma
20,Male,Ontario,High school diploma
27,Male,Ontario,No high school diploma
29,Male,Ontario,Associate degree
30,Male,Ontario,Bachelor's degree
31,Male,Alberta,Bachelor's degree
32,Female,Prince Edward Island,Bachelor's degree
62,Female,Quebec,Associate degree
51,Female,Ontario,Bachelor's degree
59,Male,Newfoundland and Labrador,High school diploma
70,Female,New Brunswick,No high school diploma
42,Female,British Columbia,Master's degree
54,Female,Newfoundland and Labrador,Associate degree
60,Male,Quebec,Associate degree
23,Female,Quebec,High school diploma
69,Male,British Columbia,High school diploma
45,Female,British Columbia,Associate degree
31,Female,Manitoba,High school diploma
57,Male,Nova Scotia,Associate degree
22,Female,Newfoundland and Labrador,Associate degree
68,Male,Manitoba,High school diploma
80,Male,Newfoundland and Labrador,Associate degree
39,Female,Newfoundland and Labrador,Associate degree
68,Male,Manitoba,Bachelor's degree
73,Male,Saskatchewan,High school diploma
67,Female,Quebec,No high school diploma
18,Male,Nova Scotia,High school diploma
80,Male,Ontario,Master's degree
26,Female,Alberta,Associate degree
80,Female,Quebec,No high school diploma
40,Female,Saskatchewan,Bachelor's degree
48,Male,Manitoba,Master's degree
42,Male,British Columbia,Associate degree
32,Male,Ontario,Bachelor's degree
62,Male,Quebec,Bachelor's degree
69,Male,Nova Scotia,Associate degree
29,Male,Ontario,Associate degree
21,Female,Quebec,Associate degree
40,Male,New Brunswick,Associate degree
58,Female,British Columbia,Associate degree
73,Male,Ontario,High school diploma
22,Male,Ontario,No high school diploma
77,Female,Quebec,High school diploma
58,Female,Quebec,Associate degree
27,Female,Quebec,Associate degree
45,Male,Quebec,Associate degree
80,Female,Quebec,No high school diploma
55,Male,British Columbia,Bachelor's degree
25,Female,Quebec,Bachelor's degree
61,Male,Ontario,High school diploma
22,Male,Ontario,High school diploma
36,Female,Ontario,Bachelor's degree
67,Female,Prince Edward Island,Associate degree
65,Female,Ontario,No high school diploma
75,Male,British Columbia,Associate degree
43,Female,Alberta,Master's degree
59,Female,Newfoundland and Labrador,High school diploma
75,Male,Ontario,No high school diploma
57,Male,Nova Scotia,Associate degree
66,Male,Nova Scotia,No high school diploma
78,Female,Nova Scotia,Associate degree
59,Male,Nova Scotia,Associate degree
37,Female,Newfoundland and Labrador,Master's degree
80,Female,Nova Scotia,No high school diploma
49,Male,Nova Scotia,High school diploma
54,Female,Newfoundland and Labrador,High school diploma
54,Male,Quebec,Bachelor's degree
36,Male,Ontario,Associate degree
80,Female,British Columbia,No high school diploma
17,Male,Ontario,No high school diploma
41,Female,Ontario,Associate degree
23,Female,British Columbia,Associate degree
68,Female,Prince Edward Island,No high school diploma
43,Female,Quebec,Associate degree
55,Female,Manitoba,Associate degree
63,Female,New Brunswick,Associate degree
19,Male,Quebec,No high school diploma
33,Female,New Brunswick,Master's degree
66,Male,Ontario,Associate degree
64,Male,New Brunswick,Associate degree
58,Female,British Columbia,Associate degree
66,Male,New Brunswick,High school diploma
59,Male,New Brunswick,No high school diploma
53,Male,Ontario,High school diploma
48,Male,Alberta,High school diploma
50,Female,British Columbia,Associate degree
74,Male,Ontario,High school diploma
79,Female,Ontario,No high school diploma
77,Male,Quebec,High school diploma
58,Male,Manitoba,No high school diploma
51,Female,British Columbia,Associate degree
76,Female,Nova Scotia,No high school diploma
52,Female,British Columbia,Master's degree
71,Female,Quebec,No high school diploma
43,Female,British Columbia,Bachelor's degree
27,Male,Manitoba,Associate degree
60,Female,Ontario,Associate degree
42,Female,Alberta,Bachelor's degree
47,Male,Saskatchewan,Associate degree
64,Male,Quebec,Associate degree
70,Male,Ontario,Associate degree
58,Female,Prince Edward Island,Associate degree
53,Male,Nova Scotia,No high school diploma
40,Female,Saskatchewan,High school diploma
80,Male,Manitoba,Master's degree
20,Male,Saskatchewan,High school diploma
31,Female,Ontario,Master's degree
75,Female,Quebec,Associate degree
65,Female,Quebec,No high school diploma
77,Male,Newfoundland and Labrador,Associate degree
56,Female,Ontario,High school diploma
80,Female,Quebec,High school diploma
34,Male,British Columbia,Associate degree
65,Male,Ontario,Associate degree
22,Female,Saskatchewan,Associate degree
77,Male,Newfoundland and Labrador,High school diploma
80,Male,British Columbia,Associate degree
30,Female,Ontario,Master's degree
58,Female,Prince Edward Island,Associate degree
59,Female,Manitoba,Associate degree
52,Male,Quebec,Associate degree
28,Male,Alberta,High school diploma
76,Female,Manitoba,Associate degree
65,Female,Ontario,No high school diploma
39,Female,Quebec,Associate degree
60,Female,Newfoundland and Labrador,No high school diploma
72,Male,Ontario,High school diploma
71,Male,British Columbia,No high school diploma
44,Female,Ontario,High school diploma
54,Female,Nova Scotia,High school diploma
32,Female,Saskatchewan,Bachelor's degree
39,Male,New Brunswick,Master's degree
48,Female,New Brunswick,Associate degree
75,Female,Quebec,High school diploma
34,Female,Ontario,High school diploma
80,Female,Saskatchewan,Associate degree
72,Female,British Columbia,High school diploma
57,Male,Nova Scotia,Associate degree
47,Female,British Columbia,Associate degree
49,Female,Ontario,Associate degree
69,Female,Ontario,High school diploma
33,Male,Ontario,Associate degree
69,Male,Ontario,Master's degree
68,Female,Ontario,No high school diploma
58,Female,New Brunswick,High school diploma
52,Female,Nova Scotia,High school diploma
61,Male,Quebec,Associate degree
69,Female,Quebec,No high school diploma
78,Male,Ontario,No high school diploma
