sex,education,age,citizenship,province,vote_liberal
Female,High school diploma,53,Canadian citizen,Ontario,0
Male,Bachelor's degree,61,Canadian citizen,Quebec,1
Female,Master's degree,30,Canadian citizen,Ontario,0
Male,Master's degree,47,Canadian citizen,British Columbia,1
Female,Bachelor's degree,44,Canadian citizen,Ontario,1
Male,Master's degree,45,Canadian citizen,Quebec,0
Male,Bachelor's degree,40,Canadian citizen,Ontario,1
Male,Bachelor's degree,46,Canadian citizen,Quebec,1
Male,High school diploma,41,Canadian citizen,Quebec,0
Male,High school diploma,57,Canadian citizen,Ontario,0
Male,Doctorate degree,33,Canadian citizen,Ontario,1
Female,Associate degree,67,Canadian citizen,Quebec,0
Female,Bachelor's degree,55,Canadian citizen,Quebec,1
Male,Bachelor's degree,75,Canadian citizen,Ontario,1
Female,Bachelor's degree,55,Canadian citizen,Ontario,1
Female,Associate degree,19,Canadian citizen,Quebec,1
Female,Bachelor's degree,67,Canadian citizen,Ontario,0
Female,High school diploma,68,Canadian citizen,Quebec,1
Male,High school diploma,68,Canadian citizen,Alberta,0
Male,Bachelor's degree,40,Canadian citizen,Ontario,0
Female,Bachelor's degree,35,Canadian citizen,Ontario,1
Male,Bachelor's degree,61,Canadian citizen,Ontario,1
Female,High school diploma,57,Canadian citizen,Ontario,1
Male,Doctorate degree,45,Canadian citizen,Northwest Territories,1
Female,Master's degree,30,Canadian citizen,Ontario,0
Female,Bachelor's degree,19,Canadian citizen,Ontario,1
Male,Bachelor's degree,45,Canadian citizen,Quebec,0
Female,Bachelor's degree,70,Canadian citizen,Ontario,0
Female,Associate degree,55,Canadian citizen,Ontario,0
Male,Associate degree,65,Canadian citizen,Quebec,1
Female,Master's degree,44,Canadian citizen,Quebec,0
Male,High school diploma,71,Canadian citizen,Ontario,0
Female,Bachelor's degree,62,Canadian citizen,Ontario,1
Female,High school diploma,70,Canadian citizen,Ontario,0
Male,Bachelor's degree,36,Canadian citizen,Ontario,0
Female,High school diploma,56,Canadian citizen,Quebec,0
Female,Master's degree,72,Canadian citizen,Ontario,0
Female,Associate degree,59,Canadian citizen,Quebec,0
Female,High school diploma,52,Canadian citizen,Quebec,0
Female,Bachelor's degree,83,Canadian citizen,Ontario,0
Female,High school diploma,62,Canadian citizen,Quebec,1
Male,High school diploma,58,Canadian citizen,Ontario,1
Male,High school diploma,34,Canadian citizen,Quebec,0
Female,Associate degree,27,Canadian citizen,Ontario,0
Male,Associate degree,56,Canadian citizen,Quebec,1
Male,Bachelor's degree,55,Canadian citizen,Quebec,0
Male,Master's degree,72,Canadian citizen,Ontario,0
Female,Doctorate degree,30,Canadian citizen,Quebec,1
Female,Master's degree,62,Canadian citizen,Nova Scotia,0
Male,Doctorate degree,76,Canadian citizen,Ontario,0
Female,No high school diploma,64,Canadian citizen,Quebec,0
Male,Bachelor's degree,78,Canadian citizen,Ontario,1
Male,Bachelor's degree,26,Canadian citizen,Quebec,0
Female,High school diploma,54,Canadian citizen,Nova Scotia,1
Male,Bachelor's degree,63,Canadian citizen,Ontario,0
Female,High school diploma,76,Canadian citizen,Ontario,1
Male,High school diploma,62,Canadian citizen,Quebec,1
Male,Bachelor's degree,42,Canadian citizen,Ontario,0
Male,Associate degree,84,Canadian citizen,British Columbia,0
